epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.717,1.67053,2.47883,1.5521,0.40684,0.39375,0.34814,0.15344,1.51335,13.0026,1.39115,0.000555037,0.000555037,0.000555037
2,328.736,1.71474,1.91472,1.57836,0.45456,0.42048,0.38885,0.17594,1.5344,26.232,1.39479,0.00107405,0.00107405,0.00107405
3,475.214,1.6988,1.82226,1.57123,0.45384,0.46484,0.41689,0.19086,1.49806,7.80144,1.36892,0.00155639,0.00155639,0.00155639
4,639.848,1.66913,1.74672,1.53904,0.57869,0.48403,0.51334,0.25478,1.41438,3.391,1.30611,0.00150197,0.00150197,0.00150197
5,818.465,1.62204,1.65523,1.51437,0.57366,0.51746,0.54183,0.26903,1.38254,4.29387,1.27735,0.00144696,0.00144696,0.00144696
6,997.123,1.59035,1.58821,1.49094,0.6019,0.53733,0.56682,0.29035,1.36263,3.96572,1.24851,0.00139195,0.00139195,0.00139195
7,1200.75,1.55316,1.53557,1.46281,0.62252,0.56391,0.60283,0.31012,1.35359,3.35963,1.23837,0.00133693,0.00133693,0.00133693
8,1413.48,1.54857,1.51184,1.45547,0.62269,0.57578,0.60945,0.31875,1.30611,3.05638,1.21741,0.00128192,0.00128192,0.00128192
9,1623.15,1.51439,1.46003,1.43278,0.6467,0.59331,0.63742,0.3312,1.29432,3.67199,1.18983,0.00122691,0.00122691,0.00122691
10,1837.05,1.50325,1.42294,1.42219,0.63128,0.59863,0.62757,0.332,1.29958,3.60734,1.19628,0.0011719,0.0011719,0.0011719
11,2062.77,1.47442,1.39529,1.41047,0.6644,0.59737,0.64745,0.35299,1.28135,2.08828,1.17288,0.00111689,0.00111689,0.00111689
12,2284.42,1.4851,1.37034,1.41254,0.65878,0.60179,0.6501,0.35496,1.27219,1.80011,1.17318,0.00106188,0.00106188,0.00106188
13,2502.03,1.4709,1.33641,1.40012,0.68987,0.60653,0.66948,0.35511,1.28796,2.03306,1.18373,0.00100687,0.00100687,0.00100687
14,2709.17,1.45399,1.31995,1.38384,0.69004,0.60595,0.66624,0.36793,1.25904,2.20869,1.16568,0.000951857,0.000951857,0.000951857
15,2917.19,1.44467,1.29501,1.37531,0.6848,0.62925,0.68604,0.3774,1.24071,2.67178,1.15301,0.000896846,0.000896846,0.000896846
16,3120.82,1.42342,1.27474,1.36479,0.70139,0.62294,0.69434,0.38487,1.23806,1.86225,1.14172,0.000841835,0.000841835,0.000841835
17,3324.15,1.4249,1.26643,1.36351,0.73199,0.62388,0.70325,0.39323,1.21837,2.10895,1.13967,0.000786824,0.000786824,0.000786824
18,3529.37,1.40109,1.2384,1.34939,0.69836,0.63997,0.70399,0.39351,1.21832,1.81203,1.1328,0.000731813,0.000731813,0.000731813
19,3743.26,1.39456,1.23664,1.35198,0.71338,0.64608,0.71106,0.39994,1.21679,1.55192,1.13879,0.000676802,0.000676802,0.000676802
20,3959.29,1.38112,1.18439,1.33361,0.72354,0.65289,0.7186,0.40527,1.21647,1.52392,1.12986,0.000621791,0.000621791,0.000621791
21,4229.34,1.45831,1.2001,1.39863,0.7232,0.64359,0.71301,0.4015,1.21357,1.64145,1.13374,0.00056678,0.00056678,0.00056678
22,4419.87,1.42607,1.15414,1.38153,0.73759,0.64674,0.72189,0.41005,1.21344,1.37246,1.13072,0.000511769,0.000511769,0.000511769
23,4608.39,1.40757,1.13013,1.36144,0.74425,0.65501,0.72843,0.41386,1.1994,1.38401,1.12293,0.000456758,0.000456758,0.000456758
24,4802.25,1.38904,1.10602,1.34128,0.73504,0.6604,0.73098,0.41808,1.19121,1.37956,1.11322,0.000401747,0.000401747,0.000401747
25,4996.41,1.37683,1.0747,1.34092,0.73532,0.66722,0.73318,0.41875,1.1918,1.24362,1.11311,0.000346736,0.000346736,0.000346736
26,5187.96,1.36144,1.05577,1.33017,0.7394,0.67123,0.73476,0.42349,1.18425,1.31925,1.11005,0.000291725,0.000291725,0.000291725
27,5383.93,1.34444,1.01042,1.31548,0.74969,0.66782,0.7405,0.42787,1.17762,1.26956,1.10619,0.000236714,0.000236714,0.000236714
28,5588.55,1.32252,0.99911,1.30414,0.74317,0.67142,0.74325,0.43319,1.17773,1.1874,1.10807,0.000181703,0.000181703,0.000181703
29,5796.32,1.31534,0.97488,1.29482,0.74879,0.67543,0.74718,0.43408,1.17602,1.09903,1.10841,0.000126692,0.000126692,0.000126692
30,6005.77,1.29764,0.95495,1.28921,0.7606,0.66514,0.7453,0.43511,1.17603,1.05261,1.11087,7.1681e-05,7.1681e-05,7.1681e-05
